Job Title,Company,Location,Salary,Skills,Description
Senior Application Developer – Mobile,"Vormittag Associates, Inc.",NY,$31.00 - $60.00 Per Hour (Employer est.),"JBoss, Computer science, XML, DB2, Relational databases","Job responsibilities will include requirements analysis, design, coding, unit and integration testing of software, and support of management system.&hellip;
Skills: JBoss, Computer science, XML, DB2, Relational databases"
Full Stack Engineer,Kforce,NY,$68.00 - $78.00 Per Hour (Employer est.),"React, PHP, Product management, APIs, Communication skills","Strong communication skills to give team leads timely updates on status of work and call out when you are blocked. Salaried personnel receive paid time off.&hellip;
Skills: React, PHP, Product management, APIs, Communication skills"
"Cloud Engineer - Onsite/Hybrid Contract in Rochester, NY",Integrity Consulting,NY,$40.00 - $50.00 Per Hour (Employer est.),"CI/CD, Cloud infrastructure, Azure, Cloud architecture, DevOps","You will collaborate closely with our development and operations teams to drive a cloud-first methodology and design resilient, scalable architectures that meet…&hellip;
Skills: CI/CD, Cloud infrastructure, Azure, Cloud architecture, DevOps"
Principal Engineer – Embedded Cybersecurity – GE Aerospace Research,GE Aerospace,NY,$130K - $240K (Employer est.),"Program management, Rust, Go, Analysis skills, C++","Interact with hardware, software, and firmware developers as well as engineering tool providers to identify appropriate solutions for the most challenging…&hellip;
Skills: Program management, Rust, Go, Analysis skills, C++"
"Senior Software Engineer, Front End",Capital One,NY,Not Provided,"Azure, Node.js, CSS, React, Test-driven development","Own the technical design and development of cross-functional, multi-platform application systems. Capital One will consider for employment qualified applicants…&hellip;
Skills: Azure, Node.js, CSS, React, Test-driven development"
Syteline Software Programmer,Four Seasons Family of Companies,NY,$93K - $98K (Employer est.),"FTP, EDI, CSS, IIS, Visual Basic","In this role, you will work collaboratively with other programming team members and with senior business managers to creatively address core ERP improvements to…&hellip;
Skills: FTP, EDI, CSS, IIS, Visual Basic"
C# & Angular Developer,Founders Software,NY,$90K - $110K (Employer est.),"CI/CD, Azure, DevOps, Mobile applications, .NET Core","BA/BS degree in Computer Science or related field. _Push Yourself:_ Thrive in a fast-paced environment that empowers you to develop your personal skills as well…&hellip;
Skills: CI/CD, Azure, DevOps, Mobile applications, .NET Core"
Software Engineer (Open Source Devl. interested in Microsoft Stack),Longi Engineering,NY,$60K - $65K (Employer est.),"Power BI, React, Microsoft SQL Server, Databases, SQL","Longi Engineering, a New York City based Microsoft Partner is looking for a full-time Software Engineer. If you have experience with Open Source technology such…&hellip;
Skills: Power BI, React, Microsoft SQL Server, Databases, SQL"
"CNC Lathe Programmer, Set-up and Operation",Turbo Machined Products,NY,$18.00 - $22.00 Per Hour (Employer est.),"Mazatrol, CNC lathe, Calipers, Micrometer, Manufacturing","Ability to use the computer programming software like Mastercam, various hand tools and measuring equipment including but not limited to, micrometer, depth…&hellip;
Skills: Mazatrol, CNC lathe, Calipers, Micrometer, Manufacturing"
Asset & Wealth Management- Associate- New York- Software Engineer,Goldman Sachs,NY,$115K - $180K (Employer est.),"Node.js, CSS, React, Relational databases, Data structures","Role entails to partner with MAS investing group and an energetic team in engineering in building a portfolio construction and order creation platform/toolset…&hellip;
Skills: Node.js, CSS, React, Relational databases, Data structures"
